iter	RMSE
0	0.8884222732
50	0.8823121979
100	0.8777050116
150	0.8740593238
200	0.8710875662
250	0.8685661904
300	0.8664274648
350	0.8645437328
400	0.8628975881
450	0.8614291286
500	0.8600659355
550	0.8588065568
600	0.8576881369
650	0.8566218769
700	0.8556562999
750	0.8547686205
800	0.853963498
850	0.8531685596
900	0.852433871
950	0.8517376464
1000	0.8510618084
1050	0.8504590268
1100	0.8498483869
1150	0.8492713452
1200	0.8487201031
1250	0.8482169833
1300	0.8477180898
1350	0.847233821
1400	0.8467698193
1450	0.846304823
1500	0.8458646889
1550	0.8454130105
1600	0.844991049
1650	0.8445820644
1700	0.8441885833
1750	0.8437972958
1800	0.8434131351
1850	0.8430292429
1900	0.8426540726
1950	0.8422966999
2000	0.8419373861
2050	0.8415947506
2100	0.8412499377
2150	0.840911961
2200	0.8405837905
2250	0.8402377603
2300	0.8399041267
2350	0.8395809227
2400	0.8392478879
2450	0.8389299741
2500	0.8386134753
2550	0.8382810238
2600	0.8379597528
2650	0.8376316788
2700	0.8373106135
2750	0.836980458
2800	0.8366458519
2850	0.836297822
2900	0.8359399593
2950	0.8356017426
3000	0.8352446877
3050	0.8348631962
3100	0.8344920537
3150	0.834061445
3200	0.8336286739
3250	0.8331781543
3300	0.8327179858
3350	0.8322145947
3400	0.831665505
3450	0.8311271737
3500	0.8305616875
3550	0.8299737288
3600	0.8293085409
3650	0.8286772027
3700	0.8280116033
3750	0.8272982688
3800	0.8266165804
3850	0.8259202523
3900	0.8251738474
3950	0.8244650103
4000	0.8236769955
4050	0.8228303397
4100	0.8220541974
4150	0.8212355471
4200	0.8203952727
4250	0.8196705035
4300	0.8189006196
4350	0.8180935699
4400	0.8173515199
4450	0.8166537574
4500	0.8159478171
4550	0.8152170383
4600	0.8145053804
4650	0.8137948357
4700	0.8130454298
4750	0.8123873375
4800	0.8117043788
4850	0.8110192147
4900	0.8104304227
4950	0.8097782451
5000	0.8091706676
5050	0.8085379156
5100	0.807937048
5150	0.8073118783
5200	0.8066895813
5250	0.8060403229
5300	0.8054992293
5350	0.8049267643
5400	0.8043632549
5450	0.8037255665
5500	0.8031539869
5550	0.8025512483
5600	0.8020231505
5650	0.8014490126
5700	0.8008696502
5750	0.8002826969
5800	0.7997280747
5850	0.7991699265
5900	0.7986136325
5950	0.7981061901
6000	0.7975815849
6050	0.7970178773
6100	0.7965043564
6150	0.7959321881
6200	0.7953474311
6250	0.7948168712
6300	0.794264565
6350	0.7936900306
6400	0.7931150838
6450	0.7925924779
6500	0.7920693506
6550	0.7915677271
6600	0.7910500671
6650	0.7905442289
6700	0.7900797325
6750	0.7895896461
6800	0.789066496
6850	0.7885385982
6900	0.7880023011
6950	0.7875030328
7000	0.7869722855
7050	0.7864893623
7100	0.7860290688
7150	0.7855518321
7200	0.7850378324
7250	0.7845884645
7300	0.7841282008
7350	0.7836896789
7400	0.7832067832
7450	0.7827467687
7500	0.7822999884
7550	0.7818449151
7600	0.7813835718
7650	0.7809182003
7700	0.7804230921
