iter	Passed	Remaining
0	78	78582
1	103	51700
2	131	43582
3	158	39374
4	193	38407
5	220	36546
6	251	35713
7	274	34014
8	304	33494
9	342	33889
10	368	33136
11	396	32618
12	423	32160
13	448	31590
14	472	31059
15	510	31369
16	540	31273
17	574	31343
18	613	31685
19	642	31481
20	680	31701
21	709	31561
22	751	31913
23	783	31865
24	814	31760
25	846	31704
26	868	31287
27	888	30844
28	913	30580
29	944	30531
30	983	30753
31	1015	30718
32	1046	30654
33	1075	30555
34	1104	30464
35	1141	30577
36	1183	30800
37	1210	30650
38	1235	30450
39	1269	30464
40	1290	30195
41	1315	30016
42	1343	29905
43	1372	29820
44	1396	29633
45	1438	29823
46	1468	29785
47	1495	29659
48	1531	29730
49	1561	29662
50	1591	29606
51	1621	29559
52	1651	29500
53	1681	29456
54	1715	29483
55	1737	29290
56	1761	29134
57	1793	29134
58	1827	29139
59	1861	29169
60	1898	29230
61	1924	29120
62	1954	29072
63	1984	29022
64	2015	28990
65	2060	29158
66	2090	29110
67	2123	29100
68	2152	29047
69	2189	29084
70	2220	29053
71	2255	29067
72	2282	28989
73	2324	29084
74	2352	29008
75	2377	28909
76	2402	28802
77	2433	28762
78	2462	28704
79	2499	28740
80	2526	28670
81	2556	28616
82	2590	28621
83	2617	28538
84	2654	28579
85	2681	28502
86	2708	28420
87	2746	28458
88	2776	28416
89	2803	28350
90	2834	28309
91	2862	28251
92	2893	28217
93	2922	28163
94	2957	28173
95	2979	28055
96	3004	27970
97	3029	27881
98	3051	27775
99	3077	27696
100	3103	27623
101	3134	27599
102	3165	27569
103	3197	27550
104	3228	27523
105	3254	27452
106	3278	27360
107	3311	27347
108	3334	27259
109	3364	27224
110	3392	27171
111	3420	27117
112	3455	27120
113	3479	27039
114	3515	27056
115	3556	27100
116	3597	27146
117	3621	27067
118	3650	27025
119	3679	26984
120	3710	26951
121	3738	26906
122	3780	26958
123	3807	26899
124	3838	26869
125	3865	26816
126	3893	26764
127	3919	26700
128	3952	26684
129	3981	26646
130	4022	26685
131	4063	26723
132	4097	26708
133	4124	26654
134	4156	26631
135	4187	26600
136	4216	26561
137	4248	26537
138	4282	26528
139	4309	26473
140	4336	26416
141	4364	26369
142	4402	26381
143	4427	26320
144	4456	26279
145	4484	26229
146	4512	26183
147	4537	26119
148	4569	26097
149	4593	26031
150	4620	25977
151	4645	25916
152	4668	25846
153	4692	25777
154	4725	25763
155	4746	25681
156	4773	25632
157	4797	25563
158	4819	25492
159	4843	25429
160	4877	25415
161	4912	25409
162	4941	25375
163	4971	25340
164	5000	25303
165	5028	25263
166	5065	25267
167	5093	25225
168	5123	25194
169	5153	25161
170	5192	25170
171	5217	25114
172	5247	25084
173	5281	25070
174	5310	25037
175	5348	25039
176	5378	25008
177	5410	24985
178	5442	24963
179	5469	24917
